fixed_acidity,volatile_acidity,total_sulfur_dioxide,alcohol,quality,color
7.4,0.7,34.0,9.4,5,red
7.8,0.88,67.0,9.8,5,red
7.8,0.76,54.0,9.8,5,red
11.2,0.28,60.0,9.8,6,red
7.4,0.7,34.0,9.4,5,red
7.4,0.66,40.0,9.4,5,red
7.9,0.6,59.0,9.4,5,red
7.3,0.65,21.0,10.0,7,red
7.8,0.58,18.0,9.5,7,red
7.5,0.5,102.0,10.5,5,red
6.7,0.58,65.0,9.2,5,red
7.5,0.5,102.0,10.5,5,red
5.6,0.615,59.0,9.9,5,red
7.8,0.61,29.0,9.1,5,red
8.9,0.62,145.0,9.2,5,red
8.9,0.62,148.0,9.2,5,red
8.5,0.28,103.0,10.5,7,red
8.1,0.56,56.0,9.3,5,red
7.4,0.59,29.0,9.0,4,red
7.9,0.32,56.0,9.2,6,red
8.9,0.22,60.0,9.4,6,red
7.6,0.39,71.0,9.7,5,red
7.9,0.43,37.0,9.5,5,red
8.5,0.49,67.0,9.4,5,red
6.9,0.4,40.0,9.7,6,red
6.3,0.39,23.0,9.3,5,red
7.6,0.41,11.0,9.5,5,red
7.9,0.43,37.0,9.5,5,red
7.1,0.71,35.0,9.4,5,red
7.8,0.645,16.0,9.8,6,red
6.7,0.675,82.0,10.1,5,red
6.9,0.685,37.0,10.6,6,red
8.3,0.655,113.0,9.8,5,red
6.9,0.605,83.0,9.4,6,red
5.2,0.32,50.0,9.2,5,red
7.8,0.645,18.0,9.6,6,red
7.8,0.6,15.0,10.8,6,red
8.1,0.38,30.0,9.7,7,red
5.7,1.13,19.0,9.8,4,red
7.3,0.45,87.0,10.5,5,red
7.3,0.45,87.0,10.5,5,red
8.8,0.61,46.0,9.3,4,red
7.5,0.49,14.0,10.5,6,red
8.1,0.66,23.0,10.3,5,red
6.8,0.67,11.0,9.5,5,red
4.6,0.52,65.0,13.1,4,red
7.7,0.935,114.0,9.2,5,red
8.7,0.29,37.0,9.5,5,red
6.4,0.4,12.0,9.2,5,red
5.6,0.31,96.0,9.2,5,red
8.8,0.66,23.0,9.2,5,red
6.6,0.52,15.0,9.4,6,red
6.6,0.5,14.0,9.4,6,red
8.6,0.38,119.0,9.4,5,red
7.6,0.51,73.0,10.2,6,red
7.7,0.62,45.0,9.5,5,red
10.2,0.42,10.0,9.6,5,red
7.5,0.63,110.0,9.4,5,red
7.8,0.59,54.0,10.0,5,red
7.3,0.39,46.0,9.4,6,red
8.8,0.4,52.0,9.2,5,red
7.7,0.69,112.0,9.3,5,red
7.5,0.52,35.0,9.5,7,red
7.0,0.735,54.0,9.8,5,red
7.2,0.725,11.0,10.9,5,red
7.2,0.725,11.0,10.9,5,red
7.5,0.52,39.0,9.6,5,red
6.6,0.705,15.0,10.7,5,red
9.3,0.32,65.0,10.7,5,red
8.0,0.705,19.0,10.5,6,red
7.7,0.63,27.0,9.5,6,red
7.7,0.67,96.0,9.5,5,red
7.7,0.69,94.0,9.5,5,red
8.3,0.675,43.0,9.2,4,red
9.7,0.32,83.0,9.6,5,red
8.8,0.41,42.0,10.5,5,red
8.8,0.41,42.0,10.5,5,red
6.8,0.785,30.0,10.7,6,red
